,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
3,672410,SCHOOL-90 GANDHIGRAM-5,SCHOOL NO. 90S.K.CHOKGANDHIGRAMRAJKOT,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'df788f20-c622-4e25-92cc-de89bc4dd0e6', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:14:16.941768
4,670769,SCHOOL-56 GitGurjari Main Road,GIT GURJARI SOCIETYBH.WARD OFFICENR.JAIN DERASAR,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'dcc50bfd-2be9-4144-8b1d-e207d3e81216', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:14:16.941768
0,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:20:48.810212
1,692651,School No.89 Raiya Gam,RAIYA GAM Opp. Gam Panchayat,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '4ef893ff-4a9f-48d0-a1d5-07a25a5e79e3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:20:48.810212
2,672410,SCHOOL-90 GANDHIGRAM-5,SCHOOL NO. 90S.K.CHOKGANDHIGRAMRAJKOT,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'df788f20-c622-4e25-92cc-de89bc4dd0e6', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:20:48.810212
3,670769,SCHOOL-56 GitGurjari Main Road,GIT GURJARI SOCIETYBH.WARD OFFICENR.JAIN DERASAR,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'dcc50bfd-2be9-4144-8b1d-e207d3e81216', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:20:48.810212
4,584304,Nandanvan UHC,"Street No - 4, Nandanvan Society , Nanavati Chowk, 150 Ft Ring Road, Rajkot",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '382c0745-516b-420b-9390-3fc200019d97', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc2181a6-022d-4d94-88cf-2765c51672f9', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f4228aa-4b38-440e-afa9-a4947498f7d3', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:20:48.810212
0,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:27:32.276817
1,692651,School No.89 Raiya Gam,RAIYA GAM Opp. Gam Panchayat,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '4ef893ff-4a9f-48d0-a1d5-07a25a5e79e3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:27:32.276817
2,672410,SCHOOL-90 GANDHIGRAM-5,SCHOOL NO. 90S.K.CHOKGANDHIGRAMRAJKOT,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'df788f20-c622-4e25-92cc-de89bc4dd0e6', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:27:32.276817
3,670769,SCHOOL-56 GitGurjari Main Road,GIT GURJARI SOCIETYBH.WARD OFFICENR.JAIN DERASAR,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'dcc50bfd-2be9-4144-8b1d-e207d3e81216', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:27:32.276817
4,584304,Nandanvan UHC,"Street No - 4, Nandanvan Society , Nanavati Chowk, 150 Ft Ring Road, Rajkot",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '382c0745-516b-420b-9390-3fc200019d97', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc2181a6-022d-4d94-88cf-2765c51672f9', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f4228aa-4b38-440e-afa9-a4947498f7d3', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:27:32.276817
0,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:34:20.628133
1,692651,School No.89 Raiya Gam,RAIYA GAM Opp. Gam Panchayat,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '4ef893ff-4a9f-48d0-a1d5-07a25a5e79e3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:34:20.628133
2,672410,SCHOOL-90 GANDHIGRAM-5,SCHOOL NO. 90S.K.CHOKGANDHIGRAMRAJKOT,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'df788f20-c622-4e25-92cc-de89bc4dd0e6', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:34:20.628133
3,670769,SCHOOL-56 GitGurjari Main Road,GIT GURJARI SOCIETYBH.WARD OFFICENR.JAIN DERASAR,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'dcc50bfd-2be9-4144-8b1d-e207d3e81216', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:34:20.628133
4,584304,Nandanvan UHC,"Street No - 4, Nandanvan Society , Nanavati Chowk, 150 Ft Ring Road, Rajkot",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '382c0745-516b-420b-9390-3fc200019d97', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc2181a6-022d-4d94-88cf-2765c51672f9', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f4228aa-4b38-440e-afa9-a4947498f7d3', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:34:20.628133
0,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:41:05.837363
1,692651,School No.89 Raiya Gam,RAIYA GAM Opp. Gam Panchayat,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '4ef893ff-4a9f-48d0-a1d5-07a25a5e79e3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:41:05.837363
2,672410,SCHOOL-90 GANDHIGRAM-5,SCHOOL NO. 90S.K.CHOKGANDHIGRAMRAJKOT,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'df788f20-c622-4e25-92cc-de89bc4dd0e6', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:41:05.837363
3,670769,SCHOOL-56 GitGurjari Main Road,GIT GURJARI SOCIETYBH.WARD OFFICENR.JAIN DERASAR,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'dcc50bfd-2be9-4144-8b1d-e207d3e81216', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:41:05.837363
4,584304,Nandanvan UHC,"Street No - 4, Nandanvan Society , Nanavati Chowk, 150 Ft Ring Road, Rajkot",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '382c0745-516b-420b-9390-3fc200019d97', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc2181a6-022d-4d94-88cf-2765c51672f9', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f4228aa-4b38-440e-afa9-a4947498f7d3', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:41:05.837363
0,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:47:51.011515
1,692651,School No.89 Raiya Gam,RAIYA GAM Opp. Gam Panchayat,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '4ef893ff-4a9f-48d0-a1d5-07a25a5e79e3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:47:51.011515
2,672410,SCHOOL-90 GANDHIGRAM-5,SCHOOL NO. 90S.K.CHOKGANDHIGRAMRAJKOT,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'df788f20-c622-4e25-92cc-de89bc4dd0e6', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:47:51.011515
3,670769,SCHOOL-56 GitGurjari Main Road,GIT GURJARI SOCIETYBH.WARD OFFICENR.JAIN DERASAR,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'dcc50bfd-2be9-4144-8b1d-e207d3e81216', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:47:51.011515
4,584304,Nandanvan UHC,"Street No - 4, Nandanvan Society , Nanavati Chowk, 150 Ft Ring Road, Rajkot",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '382c0745-516b-420b-9390-3fc200019d97', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc2181a6-022d-4d94-88cf-2765c51672f9', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f4228aa-4b38-440e-afa9-a4947498f7d3', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:47:51.011515
0,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:54:40.957156
1,692651,School No.89 Raiya Gam,RAIYA GAM Opp. Gam Panchayat,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '4ef893ff-4a9f-48d0-a1d5-07a25a5e79e3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:54:40.957156
2,672410,SCHOOL-90 GANDHIGRAM-5,SCHOOL NO. 90S.K.CHOKGANDHIGRAMRAJKOT,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'df788f20-c622-4e25-92cc-de89bc4dd0e6', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:54:40.957156
3,670769,SCHOOL-56 GitGurjari Main Road,GIT GURJARI SOCIETYBH.WARD OFFICENR.JAIN DERASAR,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'dcc50bfd-2be9-4144-8b1d-e207d3e81216', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:54:40.957156
4,584304,Nandanvan UHC,"Street No - 4, Nandanvan Society , Nanavati Chowk, 150 Ft Ring Road, Rajkot",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '382c0745-516b-420b-9390-3fc200019d97', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc2181a6-022d-4d94-88cf-2765c51672f9', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f4228aa-4b38-440e-afa9-a4947498f7d3', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:54:40.957156
0,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:01:29.925818
1,692651,School No.89 Raiya Gam,RAIYA GAM Opp. Gam Panchayat,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '4ef893ff-4a9f-48d0-a1d5-07a25a5e79e3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:01:29.925818
2,672410,SCHOOL-90 GANDHIGRAM-5,SCHOOL NO. 90S.K.CHOKGANDHIGRAMRAJKOT,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'df788f20-c622-4e25-92cc-de89bc4dd0e6', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:01:29.925818
3,670769,SCHOOL-56 GitGurjari Main Road,GIT GURJARI SOCIETYBH.WARD OFFICENR.JAIN DERASAR,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'dcc50bfd-2be9-4144-8b1d-e207d3e81216', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:01:29.925818
4,584304,Nandanvan UHC,"Street No - 4, Nandanvan Society , Nanavati Chowk, 150 Ft Ring Road, Rajkot",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '382c0745-516b-420b-9390-3fc200019d97', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc2181a6-022d-4d94-88cf-2765c51672f9', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f4228aa-4b38-440e-afa9-a4947498f7d3', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:01:29.925818
0,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:08:34.185743
1,692651,School No.89 Raiya Gam,RAIYA GAM Opp. Gam Panchayat,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '4ef893ff-4a9f-48d0-a1d5-07a25a5e79e3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:08:34.185743
2,672410,SCHOOL-90 GANDHIGRAM-5,SCHOOL NO. 90S.K.CHOKGANDHIGRAMRAJKOT,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'df788f20-c622-4e25-92cc-de89bc4dd0e6', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:08:34.185743
3,670769,SCHOOL-56 GitGurjari Main Road,GIT GURJARI SOCIETYBH.WARD OFFICENR.JAIN DERASAR,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'dcc50bfd-2be9-4144-8b1d-e207d3e81216', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:08:34.185743
4,584304,Nandanvan UHC,"Street No - 4, Nandanvan Society , Nanavati Chowk, 150 Ft Ring Road, Rajkot",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '382c0745-516b-420b-9390-3fc200019d97', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc2181a6-022d-4d94-88cf-2765c51672f9', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f4228aa-4b38-440e-afa9-a4947498f7d3', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:08:34.185743
0,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:16:11.714952
