,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:38:27.549632
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:38:27.549632
4,584245,MBMCPenkarpada Munic SCHOOL,Penkarpada Municipal School Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '3bfef77c-3919-4962-a592-4b9c95a8390c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:38:27.549632
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:38:27.549632
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:38:27.549632
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:45:46.082524
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:45:46.082524
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:45:46.082524
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:45:46.082524
4,584245,MBMCPenkarpada Munic SCHOOL,Penkarpada Municipal School Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '3bfef77c-3919-4962-a592-4b9c95a8390c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:45:46.082524
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:45:46.082524
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:45:46.082524
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:53:01.279480
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:53:01.279480
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:53:01.279480
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:53:01.279480
4,584245,MBMCPenkarpada Munic SCHOOL,Penkarpada Municipal School Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '3bfef77c-3919-4962-a592-4b9c95a8390c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:53:01.279480
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:53:01.279480
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:53:01.279480
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:00:26.445655
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:00:26.445655
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:00:26.445655
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:00:26.445655
4,584245,MBMCPenkarpada Munic SCHOOL,Penkarpada Municipal School Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '3bfef77c-3919-4962-a592-4b9c95a8390c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:00:26.445655
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:00:26.445655
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:00:26.445655
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:07:44.666490
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:07:44.666490
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:07:44.666490
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:07:44.666490
4,584245,MBMCPenkarpada Munic SCHOOL,Penkarpada Municipal School Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '3bfef77c-3919-4962-a592-4b9c95a8390c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:07:44.666490
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:07:44.666490
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:07:44.666490
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:15:06.279982
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:15:06.279982
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:15:06.279982
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:15:06.279982
4,584245,MBMCPenkarpada Munic SCHOOL,Penkarpada Municipal School Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '3bfef77c-3919-4962-a592-4b9c95a8390c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:15:06.279982
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:15:06.279982
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:15:06.279982
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:22:32.645021
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:22:32.645021
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:22:32.645021
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:22:32.645021
4,584245,MBMCPenkarpada Munic SCHOOL,Penkarpada Municipal School Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '3bfef77c-3919-4962-a592-4b9c95a8390c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:22:32.645021
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:22:32.645021
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:22:32.645021
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:29:53.318137
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:29:53.318137
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:29:53.318137
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 07:29:53.318137
